Day_of_week,Age_band_of_driver,Sex_of_driver,Driving_experience,Defect_of_vehicle,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Accident_severity
0,31-50,0,2.0,,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,1
4,31-50,0,3.0,,0,0,0,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,1
3,18-30,0,3.0,,0,1,0,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,2
3,31-50,0,3.0,No defect,0,1,0,Vehicle with vehicle collision,3,1,,Driver or rider,Male,18-30,3,2
3,31-50,0,4.0,No defect,0,1,0,Vehicle with vehicle collision,3,1,Other,Pedestrian,Male,Under 18,3,2
3,18-30,0,0.0,No defect,0,0,0,Collision with pedestrians,1,1,Getting off,Pedestrian,Male,Over 51,3,2
4,31-50,0,0.0,,0,0,0,Rollover,2,3,Going straight,Driver or rider,Male,31-50,3,1
4,31-50,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,1
4,31-50,0,3.0,,0,0,0,Rollover,2,3,Going straight,Pedestrian,Female,18-30,3,1
2,Under 18,0,3.0,,0,0,0,Vehicle with vehicle collision,2,1,Other,na,na,na,na,1
2,18-30,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
4,18-30,0,2.0,,0,1,0,Vehicle with vehicle collision,2,4,Moving Backward,Passenger,Female,Under 18,3,1
4,18-30,0,3.0,,0,1,0,Fall from vehicles,2,4,Other,Pedestrian,Male,31-50,3,1
4,31-50,0,2.0,,0,1,0,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,Over 51,3,1
4,31-50,0,-1.0,,0,1,0,Collision with roadside objects,2,4,Going straight,na,na,na,na,1
4,31-50,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,31-50,2,1
4,31-50,0,3.0,,0,0,0,Vehicle with vehicle collision,2,1,,na,na,na,na,1
0,18-30,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,1
0,Unknown,0,1.0,No defect,0,0,0,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,2,1
2,Unknown,0,-1.0,,0,1,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,1
2,Unknown,0,1.0,,0,1,0,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,3,1
1,Over 51,0,2.0,,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,Under 18,3,1
1,31-50,0,1.0,,0,0,0,Rollover,2,2,Going straight,Driver or rider,Female,18-30,3,1
1,31-50,0,4.0,,0,0,0,Collision with roadside objects,2,2,Going straight,na,na,na,na,1
3,Unknown,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
3,Over 51,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,1
6,Unknown,0,2.0,,0,0,0,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,31-50,3,1
6,18-30,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,1
0,Under 18,0,2.0,,0,0,0,Vehicle with vehicle collision,2,2,,Driver or rider,Male,18-30,3,1
0,18-30,0,2.0,,0,0,0,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,1
0,18-30,0,3.0,No defect,0,0,0,Rollover,2,2,Going straight,Driver or rider,Male,31-50,3,1
0,18-30,0,2.0,,0,0,0,Rollover,3,1,Going straight,Passenger,Female,31-50,3,1
0,Over 51,0,4.0,No defect,0,0,0,Collision with pedestrians,3,1,Going straight,Driver or rider,Female,31-50,3,1
0,31-50,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,3,1,Turnover,Passenger,Female,18-30,3,1
2,Unknown,0,4.0,,0,0,-1,Vehicle with vehicle collision,3,3,Moving Backward,Passenger,Female,Over 51,3,1
2,Unknown,0,3.0,,0,0,-1,Vehicle with vehicle collision,3,3,Going straight,na,na,na,na,1
2,Unknown,0,2.0,No defect,0,0,-1,Collision with pedestrians,3,3,Going straight,Driver or rider,Female,18-30,3,1
2,Unknown,1,1.0,7,0,0,-1,Collision with pedestrians,3,3,Moving Backward,Pedestrian,Female,18-30,2,1
2,Unknown,1,2.0,7,0,0,-1,Vehicle with vehicle collision,3,3,Going straight,Pedestrian,Male,18-30,3,1
2,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Male,Over 51,3,1
2,18-30,0,-1.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
1,Over 51,0,3.0,No defect,1,0,0,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,1
1,31-50,0,4.0,No defect,1,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,1
2,18-30,0,4.0,No defect,0,0,0,Collision with roadside objects,2,1,Other,Passenger,Female,18-30,3,1
2,31-50,0,1.0,,0,0,0,Vehicle with vehicle collision,2,1,Other,na,na,na,na,1
0,18-30,0,-1.0,,1,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,1
0,31-50,0,2.0,No defect,1,0,0,Collision with roadside objects,2,1,Reversing,na,na,na,na,1
1,Unknown,1,3.0,,1,1,1,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
1,31-50,0,2.0,,1,1,1,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,1
6,Unknown,0,4.0,,0,0,0,Collision with roadside objects,2,1,Going straight,Pedestrian,Male,18-30,3,1
6,18-30,0,3.0,,0,0,0,Collision with roadside objects,2,1,Going straight,Pedestrian,Male,18-30,3,1
4,Unknown,0,3.0,,0,0,-1,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,1
4,18-30,0,1.0,,0,0,-1,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,1
4,18-30,0,4.0,,0,0,-1,Vehicle with vehicle collision,2,2,Going straight,Passenger,Male,18-30,3,1
6,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,1
6,31-50,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,31-50,3,1
5,Unknown,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,1
5,Under 18,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Female,31-50,3,1
2,18-30,0,1.0,No defect,0,0,5,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,2,1
2,31-50,0,3.0,No defect,0,0,5,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,1
2,31-50,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Female,Under 18,3,1
2,Under 18,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,1
1,Over 51,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,1
1,Unknown,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Turnover,Pedestrian,Female,Under 18,3,1
0,Over 51,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,18-30,3,1
0,Over 51,0,-1.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
0,31-50,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,6,Going straight,Driver or rider,Male,18-30,3,1
0,31-50,0,-1.0,No defect,0,0,0,Vehicle with vehicle collision,2,6,Going straight,na,na,na,na,1
0,Under 18,0,-1.0,No defect,0,0,0,Vehicle with vehicle collision,2,6,Going straight,Pedestrian,Female,18-30,2,1
0,Under 18,0,1.0,No defect,0,0,0,Collision with roadside objects,2,6,Going straight,Pedestrian,Male,Over 51,3,1
0,Under 18,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,6,Going straight,Driver or rider,Male,18-30,3,1
0,Under 18,0,2.0,No defect,0,0,0,Collision with pedestrians,2,6,Getting off,Passenger,Female,18-30,3,1
1,31-50,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,1
1,31-50,0,2.0,No defect,0,0,0,Collision with roadside objects,2,2,Other,na,na,na,na,1
1,18-30,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,1
1,Unknown,0,0.0,No defect,0,1,6,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,1
1,18-30,0,0.0,No defect,0,1,6,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
4,31-50,0,-1.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
4,Under 18,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
6,18-30,0,-1.0,No defect,1,0,0,Rollover,3,1,Going straight,na,na,na,na,1
6,Unknown,0,5.0,No defect,1,0,0,Collision with roadside objects,3,1,Going straight,Pedestrian,Female,18-30,3,1
6,Unknown,0,4.0,No defect,1,0,0,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,18-30,3,1
4,Unknown,0,4.0,No defect,0,1,0,Collision with roadside objects,2,2,Going straight,na,na,na,na,1
4,Under 18,0,4.0,,0,1,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,1
4,Under 18,0,4.0,,0,1,0,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,1
5,Under 18,0,3.0,No defect,0,1,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,1
5,Unknown,0,0.0,No defect,0,1,0,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,1
2,Under 18,0,2.0,No defect,1,0,4,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,18-30,3,1
2,Under 18,0,-1.0,,1,0,4,Collision with roadside objects,2,2,Moving Backward,Pedestrian,Male,Over 51,3,1
2,Over 51,0,1.0,No defect,1,0,4,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Female,18-30,3,1
6,Unknown,1,1.0,No defect,0,1,0,Collision with roadside objects,1,1,Going straight,na,na,na,na,1
3,Unknown,0,1.0,No defect,0,0,-1,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
3,Over 51,0,3.0,No defect,0,0,-1,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,5,3,1
0,31-50,0,4.0,No defect,0,1,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
0,Under 18,0,4.0,No defect,0,1,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,1
5,31-50,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,1
5,18-30,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,,na,na,na,na,1
0,18-30,0,0.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Other,na,na,na,na,2
0,Over 51,0,1.0,,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Over 51,3,2
2,18-30,0,3.0,7,0,0,0,Vehicle with vehicle collision,2,1,,na,na,na,na,1
2,Unknown,0,0.0,,0,0,0,Vehicle with vehicle collision,2,1,Overtaking,Passenger,Male,31-50,3,1
5,Under 18,0,3.0,5,1,0,7,Vehicle with vehicle collision,3,4,Reversing,na,na,na,na,1
5,Under 18,0,2.0,No defect,1,0,7,Rollover,3,4,Going straight,Driver or rider,Male,Over 51,3,1
5,31-50,0,3.0,No defect,1,0,7,Collision with roadside objects,3,4,Other,Driver or rider,Male,Over 51,3,1
5,Under 18,0,3.0,No defect,1,0,7,Vehicle with vehicle collision,3,4,Moving Backward,na,na,na,na,1
4,31-50,0,4.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,3,1
4,18-30,0,1.0,,0,0,0,Collision with roadside objects,2,1,Other,Passenger,Female,31-50,3,1
4,18-30,0,0.0,No defect,0,1,0,Vehicle with vehicle collision,2,2,Moving Backward,Passenger,Female,31-50,3,1
4,18-30,0,4.0,,0,1,0,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Under 18,3,1
0,Under 18,0,1.0,,0,0,0,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,Under 18,3,1
6,31-50,0,2.0,,0,0,0,Rollover,2,1,Moving Backward,Passenger,Female,Under 18,3,1
6,31-50,0,3.0,No defect,0,0,0,Rollover,2,1,Going straight,Passenger,Male,Under 18,3,1
2,Over 51,0,2.0,No defect,0,0,0,Collision with pedestrians,3,1,Getting off,na,na,na,na,1
2,31-50,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,Under 18,3,1
2,31-50,0,1.0,,0,0,0,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,31-50,3,1
5,31-50,0,1.0,,0,0,0,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,1
5,31-50,0,1.0,,0,0,0,Collision with pedestrians,2,2,Going straight,Passenger,Female,Over 51,3,1
5,31-50,0,3.0,No defect,0,0,0,Collision with pedestrians,2,2,Going straight,Pedestrian,Female,31-50,2,1
3,18-30,0,-1.0,No defect,0,0,0,Vehicle with vehicle collision,2,4,Going straight,na,na,na,na,1
3,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,5,3,1
3,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,31-50,3,1
3,Over 51,0,3.0,No defect,0,0,0,Collision with roadside objects,2,4,Moving Backward,na,na,na,na,1
2,31-50,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
2,Unknown,0,3.0,,0,0,0,Collision with roadside objects,2,1,Going straight,na,na,na,na,1
0,31-50,0,1.0,,1,0,0,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,1
0,31-50,0,2.0,No defect,1,0,0,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,1
0,31-50,0,3.0,No defect,1,0,0,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,3,1
4,31-50,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,31-50,3,1
2,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,2
2,31-50,0,2.0,,0,0,0,Collision with roadside objects,2,1,Going straight,na,na,na,na,2
4,18-30,0,3.0,,0,0,0,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,1
4,31-50,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
0,Unknown,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,31-50,3,1
1,Unknown,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,2
5,Unknown,0,3.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
5,31-50,0,-1.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
2,Unknown,0,4.0,,0,0,0,Vehicle with vehicle collision,4,5,Other,na,na,na,na,1
2,Unknown,0,0.0,,0,0,0,Vehicle with vehicle collision,4,5,Going straight,Pedestrian,Female,18-30,3,1
2,Unknown,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,4,5,Reversing,Pedestrian,Female,Under 18,3,1
2,Over 51,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,4,5,Going straight,Pedestrian,Female,5,3,1
2,31-50,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,4,5,Reversing,Passenger,Female,31-50,3,1
2,18-30,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,4,5,Going straight,na,na,na,na,1
0,31-50,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Male,31-50,3,1
0,Over 51,0,2.0,,0,0,0,Vehicle with vehicle collision,2,2,,na,na,na,na,1
1,Unknown,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
1,18-30,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,3,1
0,18-30,0,1.0,,1,1,1,Vehicle with vehicle collision,2,1,Other,Passenger,Female,Under 18,3,1
0,18-30,0,2.0,,1,1,1,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,1
3,Over 51,0,3.0,,0,0,0,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,1
2,18-30,0,1.0,No defect,0,0,-1,Collision with roadside objects,3,1,Going straight,Driver or rider,Male,18-30,3,1
2,Unknown,0,1.0,No defect,0,0,-1,Vehicle with vehicle collision,3,1,Moving Backward,na,na,na,na,1
2,Unknown,0,2.0,No defect,0,0,-1,Collision with pedestrians,3,1,Going straight,Driver or rider,Male,Over 51,3,1
1,18-30,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,1
3,Over 51,0,0.0,,0,0,0,Collision with roadside objects,3,1,Going straight,Driver or rider,Male,18-30,3,1
3,18-30,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,1
3,Over 51,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,3,1,Other,na,na,na,na,1
4,31-50,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,,Driver or rider,Male,18-30,3,1
4,18-30,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
3,18-30,0,-1.0,,0,0,0,Vehicle with vehicle collision,2,3,Turnover,na,na,na,na,1
3,31-50,0,3.0,,0,0,0,Rollover,2,3,Going straight,Passenger,Female,Over 51,3,1
3,31-50,0,2.0,,0,0,0,Collision with roadside objects,2,3,Moving Backward,Driver or rider,Male,18-30,3,1
3,Over 51,0,-1.0,,0,0,0,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Female,Over 51,2,1
3,31-50,0,-1.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
3,18-30,0,1.0,,0,0,0,Collision with roadside objects,2,1,Other,Driver or rider,Male,31-50,3,1
3,Under 18,0,1.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
6,18-30,0,1.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
6,31-50,0,4.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
4,Over 51,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,1
0,Over 51,0,4.0,No defect,1,0,0,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,18-30,3,1
0,18-30,0,4.0,No defect,1,0,0,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,1
6,Unknown,1,1.0,No defect,0,0,0,Collision with pedestrians,2,3,Going straight,Driver or rider,Male,31-50,3,1
6,18-30,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,1
6,18-30,0,2.0,,0,0,0,Collision with roadside objects,2,3,Other,na,na,na,na,1
4,31-50,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,2,1
3,18-30,0,1.0,No defect,0,1,0,Vehicle with vehicle collision,1,1,Overtaking,Pedestrian,Female,Under 18,3,3
6,Unknown,0,3.0,No defect,0,1,0,Vehicle with vehicle collision,2,3,Going straight,Pedestrian,Male,Over 51,3,1
6,Unknown,0,3.0,No defect,0,1,0,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,1
6,31-50,0,1.0,No defect,0,1,0,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,Under 18,3,1
1,18-30,0,3.0,No defect,0,1,0,Vehicle with vehicle collision,3,5,U-Turn,na,na,na,na,1
1,31-50,0,2.0,No defect,0,1,0,Vehicle with vehicle collision,3,5,Going straight,Driver or rider,Male,18-30,3,1
1,31-50,0,3.0,No defect,0,1,0,Vehicle with vehicle collision,3,5,Going straight,na,na,na,na,1
1,31-50,0,4.0,No defect,0,1,0,Vehicle with vehicle collision,3,5,Going straight,Driver or rider,Male,18-30,3,1
1,31-50,0,4.0,No defect,0,1,0,Collision with roadside objects,3,5,Going straight,na,na,na,na,1
4,31-50,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Turnover,Driver or rider,Male,18-30,3,1
2,18-30,0,3.0,No defect,0,0,0,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,1
2,18-30,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
4,Over 51,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Male,31-50,3,1
5,Unknown,0,3.0,No defect,0,1,0,,2,1,Going straight,na,na,na,na,1
5,18-30,0,2.0,No defect,0,1,0,Collision with pedestrians,2,1,Moving Backward,Pedestrian,Female,Under 18,3,1
4,Over 51,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,1
4,Over 51,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
0,31-50,0,4.0,,0,0,-1,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,1
0,Unknown,0,4.0,No defect,0,0,0,Collision with pedestrians,3,1,Going straight,na,na,na,na,1
0,18-30,0,2.0,No defect,0,0,0,Collision with roadside objects,3,1,U-Turn,Driver or rider,Male,5,3,1
0,18-30,0,4.0,No defect,0,0,0,,3,1,Going straight,Passenger,Male,31-50,3,1
5,Over 51,0,4.0,,1,0,1,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,1
5,18-30,0,0.0,No defect,1,0,1,,2,1,Going straight,Driver or rider,Female,31-50,3,1
0,31-50,0,4.0,No defect,0,0,0,,1,1,Going straight,na,na,na,na,1
4,Over 51,0,4.0,No defect,0,0,0,,2,1,Going straight,na,na,na,na,2
4,Under 18,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,2,2
1,18-30,0,-1.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Stopping,Pedestrian,Male,Under 18,3,1
1,18-30,0,3.0,No defect,0,0,0,Collision with roadside objects,3,1,Turnover,Driver or rider,Male,31-50,3,1
1,Over 51,0,3.0,No defect,0,0,0,Collision with roadside objects,3,1,Getting off,na,na,na,na,1
1,Unknown,1,0.0,No defect,0,0,0,Vehicle with vehicle collision,3,1,Moving Backward,Driver or rider,Male,18-30,3,1
1,Under 18,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,2
1,Under 18,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,2
0,18-30,0,2.0,7,0,0,0,Vehicle with vehicle collision,2,2,Turnover,Pedestrian,Female,18-30,3,2
0,31-50,0,2.0,,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,2
0,Over 51,0,2.0,5,1,0,0,Rollover,3,1,Going straight,na,na,na,na,1
0,31-50,0,4.0,No defect,1,0,0,Vehicle with vehicle collision,3,1,U-Turn,Pedestrian,Female,18-30,3,1
0,Unknown,0,2.0,No defect,1,0,0,Collision with roadside objects,3,1,Going straight,na,na,na,na,1
3,Under 18,2,1.0,No defect,1,0,0,Collision with pedestrians,2,3,Going straight,Driver or rider,Male,Under 18,3,1
3,18-30,0,2.0,,1,0,0,Vehicle with vehicle collision,2,3,U-Turn,na,na,na,na,1
3,18-30,0,1.0,,1,0,0,Vehicle with vehicle collision,2,3,Stopping,Driver or rider,Male,18-30,3,1
4,Unknown,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,31-50,3,2
4,Unknown,0,3.0,,0,0,0,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Male,18-30,3,2
4,31-50,0,2.0,,0,0,0,Vehicle with vehicle collision,2,2,Getting off,na,na,na,na,2
4,31-50,0,0.0,,0,0,0,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,1
5,18-30,0,-1.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
5,31-50,0,4.0,No defect,0,0,0,Collision with roadside objects,2,1,Turnover,na,na,na,na,1
5,Unknown,0,1.0,No defect,0,0,0,Rollover,2,1,Moving Backward,Driver or rider,Male,31-50,3,1
5,31-50,0,3.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,1
0,31-50,0,1.0,,0,0,0,Collision with pedestrians,2,2,Moving Backward,Driver or rider,Male,18-30,3,1
0,18-30,0,4.0,,0,0,0,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,1
0,18-30,0,0.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,,Driver or rider,Female,Under 18,3,1
0,18-30,0,2.0,No defect,1,0,1,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,18-30,3,2
0,Under 18,0,3.0,No defect,1,0,1,Collision with pedestrians,2,1,,Driver or rider,Male,18-30,3,2
6,Over 51,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,3,4,Going straight,na,na,na,na,1
6,31-50,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,3,4,,Pedestrian,Female,Under 18,3,1
6,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Male,Under 18,3,1
6,18-30,0,-1.0,,0,0,0,Vehicle with vehicle collision,3,4,Going straight,Passenger,Female,18-30,3,1
6,18-30,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
6,Over 51,0,1.0,No defect,0,0,0,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,1
4,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
4,Over 51,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,1
5,31-50,0,5.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Other,Pedestrian,Female,18-30,3,1
5,18-30,0,4.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,3,1
5,31-50,0,4.0,,0,0,0,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,2
5,31-50,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,3,1,Getting off,na,na,na,na,2
5,Over 51,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,2
4,31-50,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,18-30,3,1
